image,region,version,tone_evenness_score
00232.png,under-eyes,a_degradation_11,0.1896910015089653
00232.png,left-cheek,a_degradation_17,0.21396468412266126
00232.png,right-cheek,a_degradation_17,0.20552709726634227
00232.png,bottom-face,a_degradation_17,0.23884694850706892
00232.png,forehead,a_degradation_17,0.21999015245649717
00232.png,under-eyes,a_degradation_17,0.18440868788276563
00251.png,left-cheek,original_roi,0.3038287170012161
00251.png,right-cheek,original_roi,0.2618692018246765
00251.png,bottom-face,original_roi,0.28755363962395564
00251.png,forehead,original_roi,0.34632784348049117
00251.png,under-eyes,original_roi,0.24082058633667872
00251.png,left-cheek,a_degradation_11,0.29600493717951704
00251.png,right-cheek,a_degradation_11,0.25236481226319857
00251.png,bottom-face,a_degradation_11,0.265230743792411
00251.png,forehead,a_degradation_11,0.31876864690400475
00251.png,under-eyes,a_degradation_11,0.23856701599062113
00251.png,left-cheek,a_degradation_17,0.24201864185139452
00251.png,right-cheek,a_degradation_17,0.21374383416792447
00251.png,bottom-face,a_degradation_17,0.23417801046570863
00251.png,forehead,a_degradation_17,0.29444608128796795
00251.png,under-eyes,a_degradation_17,0.2304151871650815
00257.png,left-cheek,original_roi,0.2891872812827417
00257.png,right-cheek,original_roi,0.26779027595779814
00257.png,bottom-face,original_roi,0.35437956630764517
00257.png,forehead,original_roi,0.35531488665345845
00257.png,under-eyes,original_roi,0.3139878731685289
00257.png,left-cheek,a_degradation_11,0.27397273338010564
00257.png,right-cheek,a_degradation_11,0.2447936702929417
00257.png,bottom-face,a_degradation_11,0.30932859762024517
00257.png,forehead,a_degradation_11,0.3087230152011805
00257.png,under-eyes,a_degradation_11,0.2841679984862274
00257.png,left-cheek,a_degradation_17,0.24254824004010636
00257.png,right-cheek,a_degradation_17,0.20464997897464138
00257.png,bottom-face,a_degradation_17,0.27002654442479723
00257.png,forehead,a_degradation_17,0.29751802687407414
00257.png,under-eyes,a_degradation_17,0.2700464668060958
00259.png,left-cheek,original_roi,0.16123488575270087
00259.png,right-cheek,original_roi,0.2721337351736225
00259.png,bottom-face,original_roi,0.13723887472501736
00259.png,forehead,original_roi,0.13990014881975457
00259.png,under-eyes,original_roi,0.13811022389864305
00259.png,left-cheek,a_degradation_11,0.15901553633347615
00259.png,right-cheek,a_degradation_11,0.254621382332721
00259.png,bottom-face,a_degradation_11,0.13379299496617533
00259.png,forehead,a_degradation_11,0.13862139205476598
00259.png,under-eyes,a_degradation_11,0.13273331421867413
00259.png,left-cheek,a_degradation_17,0.15996223974854323
00259.png,right-cheek,a_degradation_17,0.23019436326147347
00259.png,bottom-face,a_degradation_17,0.12771570938327942
