image,region,version,evenness_score
00142.png,under-eyes,smooth_2_sigma_2.5,0.007917771472279225
00144.png,left-cheek,original_roi,0.004889511256564422
00144.png,right-cheek,original_roi,0.005142568089753334
00144.png,bottom-face,original_roi,0.005424212957964377
00144.png,forehead,original_roi,0.00425715073260538
00144.png,under-eyes,original_roi,0.004633894264504072
00144.png,left-cheek,smooth_1_sigma_1.5,0.005172235818765938
00144.png,right-cheek,smooth_1_sigma_1.5,0.005398027606119793
00144.png,bottom-face,smooth_1_sigma_1.5,0.005757080669216814
00144.png,forehead,smooth_1_sigma_1.5,0.0044091385899707024
00144.png,under-eyes,smooth_1_sigma_1.5,0.004916635876619915
00144.png,left-cheek,smooth_2_sigma_2.5,0.0052598566904421985
00144.png,right-cheek,smooth_2_sigma_2.5,0.005456709425763316
00144.png,bottom-face,smooth_2_sigma_2.5,0.005852325321082088
00144.png,forehead,smooth_2_sigma_2.5,0.004439373447075788
00144.png,under-eyes,smooth_2_sigma_2.5,0.004977747252128265
00167.png,left-cheek,original_roi,0.00465413236621007
00167.png,right-cheek,original_roi,0.0044956478027015235
00167.png,bottom-face,original_roi,0.004972868235573897
00167.png,forehead,original_roi,0.0038059065858972447
00167.png,under-eyes,original_roi,0.00450129224837261
00167.png,left-cheek,smooth_1_sigma_1.5,0.004723975235504464
00167.png,right-cheek,smooth_1_sigma_1.5,0.004561994107926416
00167.png,bottom-face,smooth_1_sigma_1.5,0.005053727601940661
00167.png,forehead,smooth_1_sigma_1.5,0.0038450136723002285
00167.png,under-eyes,smooth_1_sigma_1.5,0.004575745078612929
00167.png,left-cheek,smooth_2_sigma_2.5,0.004744646334240593
00167.png,right-cheek,smooth_2_sigma_2.5,0.004584912620727767
00167.png,bottom-face,smooth_2_sigma_2.5,0.005090281041608399
00167.png,forehead,smooth_2_sigma_2.5,0.003861861894350422
00167.png,under-eyes,smooth_2_sigma_2.5,0.004601115006532101
00174.png,left-cheek,original_roi,0.006177114157756008
00174.png,right-cheek,original_roi,0.006062097837722887
00174.png,bottom-face,original_roi,0.006891146577851954
00174.png,forehead,original_roi,0.00585315799670541
00174.png,under-eyes,original_roi,0.006710385343578857
00174.png,left-cheek,smooth_1_sigma_1.5,0.006487714552129708
00174.png,right-cheek,smooth_1_sigma_1.5,0.006378437822139374
00174.png,bottom-face,smooth_1_sigma_1.5,0.007259255584446553
00174.png,forehead,smooth_1_sigma_1.5,0.006735517595119805
00174.png,under-eyes,smooth_1_sigma_1.5,0.007295190707814008
00174.png,left-cheek,smooth_2_sigma_2.5,0.006547871538313935
00174.png,right-cheek,smooth_2_sigma_2.5,0.006444486723741588
00174.png,bottom-face,smooth_2_sigma_2.5,0.0073544159846573665
00174.png,forehead,smooth_2_sigma_2.5,0.007091394260422552
00174.png,under-eyes,smooth_2_sigma_2.5,0.007465036744496148
00175.png,left-cheek,original_roi,0.004258551782762524
00175.png,right-cheek,original_roi,0.0033726767363023917
00175.png,bottom-face,original_roi,0.0037350432334203616
00175.png,forehead,original_roi,0.0036390748353548174
00175.png,under-eyes,original_roi,0.0038264874127085387
00175.png,left-cheek,smooth_1_sigma_1.5,0.0044017460824208625
00175.png,right-cheek,smooth_1_sigma_1.5,0.003445665180711728
00175.png,bottom-face,smooth_1_sigma_1.5,0.004022718274755595
00175.png,forehead,smooth_1_sigma_1.5,0.0037876604211457164
00175.png,under-eyes,smooth_1_sigma_1.5,0.0039948581958035604
